Filename,Title,Cart Type,Mapper Type,ROM Banks,RAM Banks,RAM Size,ROM Size,Battery,Timer,Rumble,Sensor,Licensee,Old Licensee Code,CGB Functionality,SGB Functionality,Mask ROM Ver,Region,Weird
Dr. Mario (World) (Rev A).gb,DR.MARIO,ROM ONLY,ROM ONLY,2,0,0x0,0x8000,False,False,False,False,Nintendo,True,None,False,1,Japan,False
"Taikyoku Renju (Japan) (En,Ja).gb",TAIKYOKU RENJU,MBC1,MBC1,4,0,0x0,0x10000,False,False,False,False,Towachiki,True,None,False,0,Japan,False
Catz (USA).gbc,CATZ       AZCE,MBC5+RAM+Battery,MBC5,64,1,0x800,0x100000,True,False,False,False,Mindscape,False,CGB Only,False,0,Non-Japan (0x1),False
Agro Soar (Australia).gb,AGRO SOAR,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Laser Beam Entertainment,True,None,False,0,Non-Japan (0x1),False
Pachi-Slot Hisshou Guide GB (Japan) (SGB Enhanced).gb,PACHISLO GB,MBC2+Battery,MBC2,8,1,0x100,0x20000,True,False,False,False,Konami,False,None,True,0,Japan,False
Dragon Slayer - Nemuri no Oukan (Japan).gb,DORASUREGAIDEN,MBC2+Battery,MBC2,8,1,0x100,0x20000,True,False,False,False,Epoch,True,None,False,0,Japan,False
"John Romero's Daikatana (Europe) (Fr,De,Es).gbc",DAIKATANAA22Y,MBC5+RAM+Battery,MBC5,64,1,0x800,0x100000,True,False,False,False,Kemco,False,CGB Only,False,0,Non-Japan (0x1),False
"New Adventures of Mary-Kate & Ashley, The (USA, Europe) (GB Compatible).gbc",THE NEW ADVAXFE,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,Acclaim,False,Extra CGB Functions,False,0,Non-Japan (0x1),False
"King of Fighters '95, The (USA) (SGB Enhanced).gb",NETTOU KOF 95,MBC1,MBC1,32,0,0x0,0x80000,False,False,False,False,Nintendo R&D1,False,None,True,0,Non-Japan (0x1),False
Mogura de Pon! (Japan).gb,MOGURA DE PON!,ROM ONLY,ROM ONLY,2,0,0x0,0x8000,False,False,False,False,Athena,True,None,False,0,Japan,False
Maru's Mission (USA).gb,MARU'S MISSION,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Jaleco,True,None,False,0,Non-Japan (0x1),False
"WDL - World Destruction League - Thunder Tanks (USA) (En,Fr,De).gbc",WDL:TTBBTE,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,"UNKNOWN(b'5H',5H)",False,CGB Only,False,0,Non-Japan (0x1),True
"Powerpuff Girls, The - Paint the Townsville Green (USA) (Rev 2).gbc",PPGBUTRCUPBPTE,MBC5,MBC5,128,0,0x0,0x200000,False,False,False,False,Bay Area Multimedia (BAM) Entertainment,False,CGB Only,False,2,Non-Japan (0x1),False
After Burst (Japan).gb,AFTER BURST,MBC1,MBC1,4,0,0x0,0x10000,False,False,False,False,NCS,True,None,False,0,Japan,False
