Filename,Title,Cart Type,Mapper Type,ROM Banks,RAM Banks,RAM Size,ROM Size,CGB Functionality,SGB Functionality,Mask ROM Ver,Region
Agro Soar (Australia).gb,AGRO SOAR,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Mystic Quest (Germany).gb,MYSTIC QUEST,MBC2+BATTERY,MBC2,16,1,0x100,0x40000,None,No,0,Non-Japan (0x1)
Desert Strike - Return to the Gulf (Europe) (SGB Enhanced).gb,DESERT STRIKE,MBC1,MBC1,16,0,0x0,0x40000,None,Yes,0,Non-Japan (0x1)
Trip World (Europe).gb,TRIP WORLD,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
Star Trek - The Next Generation (Spain).gb,STAR TREK,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Monopoly (Europe) (En,Fr,De).gb",EUROMONOPOLY,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
Golf Classic (Europe) (SGB Enhanced).gb,GOLF CLASSIC,MBC1,MBC1,16,0,0x0,0x40000,None,Yes,0,Non-Japan (0x1)
Probotector (Europe).gb,PROBOTECTOR,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Pokemon - Versione Blu (Italy) (SGB Enhanced).gb,POKEMON BLUE,MBC5+RAM+BATTERY,MBC5,64,4,0x4000,0x100000,None,Yes,0,Non-Japan (0x1)
"Otto's Ottifanten - Baby Bruno's Nightmare (Europe) (En,Fr,De,Es).gb",OTTIFANTEN,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
Shadow Warriors (Europe).gb,SHADOW WARRIORS,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Dynablaster (Europe).gb,DYNABLASTER,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Battle Arena Toshinden (Europe) (SGB Enhanced).gb,BA.TOSHINDEN,MBC1,MBC1,32,0,0x0,0x80000,None,Yes,0,Non-Japan (0x1)
"Bataille Navale (France) (En,Fr,De,Es).gb",BATAILLE NAVALE,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Aerostar (USA, Europe).gb",AEROSTAR,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Matthias Sammer Soccer (Germany) (SGB Enhanced).gb,MATTHIAS SAMMER,MBC2+BATTERY,MBC2,16,1,0x100,0x40000,None,Yes,0,Non-Japan (0x1)
Parodius (Europe).gb,PARODIUS,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
"Maus, Die (Europe) (En,Fr,De,Es).gb",DIE MAUS,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
Castle Quest (Europe).gb,CASTLE QUEST USA,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Motocross Maniacs (Europe).gb,MOTOCROSSMANIACS,ROM ONLY (0x0),ROM ONLY,2,0,0x0,0x8000,None,No,0,Non-Japan (0x1)
Who Framed Roger Rabbit (Europe).gb,ROGER RABBIT,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Mr. Nutz (Europe).gb,MR NUTZ,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
Casper (Europe).gb,CASPER,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Lingo (Europe) (En,Fr,De,Nl).gb",LINGO,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Joe & Mac - Caveman Ninja (Europe) (En,Fr,De,Es,It,Nl,Sv).gb",JOE AND MAC,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
RoboCop vs. The Terminator (Europe).gb,RVT             ,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Pokemon - Edicion Roja (Spain) (SGB Enhanced).gb,POKEMON RED,MBC5+RAM+BATTERY,MBC5,64,4,0x4000,0x100000,None,Yes,0,Non-Japan (0x1)
Tip Off (Europe).gb,TIP OFF,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Brain Drain (Europe) (SGB Enhanced).gb,BRAIN DRAIN,MBC1,MBC1,8,0,0x0,0x20000,None,Yes,0,Non-Japan (0x1)
"Battle of Olympus, The (Europe) (En,Fr,De,Es,It).gb",OLYMPUS,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
Sunsoft Grand Prix (Europe).gb,SUNSOFT GRAND PR,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Non-Japan (0x1)
Alfred Chicken (Europe).gb,ALFRED CHICKEN,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Jack Nicklaus Golf (France).gb,FRENCH NICK GOLF,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Humans, The (Europe) (En,Fr,De,Es,It).gb",THE HUMANS,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
"Indien dans la Ville, Un (France) (SGB Enhanced).gb",LITTLE INDIAN,MBC1,MBC1,8,0,0x0,0x20000,None,Yes,0,Non-Japan (0x1)
"Chessmaster, The (DMG-EM) (Europe).gb",THE CHESSMASTER,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Non-Japan (0x1)
"Caesars Palace (Europe) (En,Fr,De,Es,It).gb",CAESARS PALACE,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Bomb Jack (Europe).gb,BOMB JACK,ROM ONLY (0x0),ROM ONLY,2,0,0x0,0x8000,None,No,0,Non-Japan (0x1)
Super James Pond (Europe).gb,JAMES POND,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Parasol Stars - Rainbow Islands II (Europe).gb,PARASOL STARS,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Best of the Best - Championship Karate (Europe).gb,BEST OF THE BEST,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
Palamedes (Europe).gb,PALAMEDES,ROM ONLY (0x0),ROM ONLY,2,0,0x0,0x8000,None,No,0,Non-Japan (0x1)
Mega Man V (Europe) (SGB Enhanced).gb,MEGAMAN5,MBC1,MBC1,32,0,0x0,0x80000,None,Yes,0,Non-Japan (0x1)
"Super Kick Off (Europe) (En,Fr,De,It,Nl).gb",SUPER KICK OFF,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Legend of the River King GB (Australia) (SGB Enhanced).gb,THE RIVER KING  ,MBC1+RAM+BATTERY,MBC1,32,1,0x800,0x80000,None,Yes,0,Non-Japan (0x1)
Nemesis (Europe).gb,NEMESIS,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
