Filename,Title,Cart Type,Mapper Type,ROM Banks,RAM Banks,RAM Size,ROM Size,CGB Functionality,SGB Functionality,Mask ROM Ver,Region
"Taikyoku Renju (Japan) (En,Ja).gb",TAIKYOKU RENJU,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Japan
Pachi-Slot Hisshou Guide GB (Japan) (SGB Enhanced).gb,PACHISLO GB,MBC2+BATTERY,MBC2,8,1,0x100,0x20000,None,Yes,0,Japan
Dragon Slayer - Nemuri no Oukan (Japan).gb,DORASUREGAIDEN,MBC2+BATTERY,MBC2,8,1,0x100,0x20000,None,No,0,Japan
Mogura de Pon! (Japan).gb,MOGURA DE PON!,ROM ONLY (0x0),ROM ONLY,2,0,0x0,0x8000,None,No,0,Japan
After Burst (Japan).gb,AFTER BURST,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Japan
Goukaku Boy Series - 99 Nendo Ban Eitango Center 1500 (Japan).gb,EITANGO SENTA,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Japan
Namco Gallery Vol.3 (Japan) (SGB Enhanced).gb,GALLERY3,MBC1,MBC1,32,0,0x0,0x80000,None,Yes,0,Japan
Nettou Samurai Spirits - Zankurou Musouken (Japan) (SGB Enhanced).gb,ZANKUROUMUSOUKEN,MBC1,MBC1,64,0,0x0,0x100000,None,Yes,0,Japan
Goukaku Boy Series - Shikakui Atama o Maruku Suru - Rika Battle Hen (Japan) (Special Edition).gb,SIKAKU RIKABH4J,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Japan
Itsudemo! Nyan to Wonderful (Japan) (SGB Enhanced).gb,NYANTOWONDERFUL,MBC3+TIMER+RAM+BATTERY,MBC3,16,1,0x800,0x40000,None,Yes,0,Japan
Rockman World (Japan).gb,ROCKMAN WORLD,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Japan
Alien 3 (Japan).gb,ALIEN,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
Uchiiwai - Kyoudaijingi no Puzzle Game (Japan).gb,KYOUDAI JINGI,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Japan
Dead Heat Scramble (Japan).gb,DEADHEATSCRAMBLE,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Japan
Banishing Racer (Japan).gb,BANISHING RACER,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
Mini 4 Boy (Japan) (SGB Enhanced).gb,MINI4BOY,MBC1+RAM+BATTERY,MBC1,32,1,0x800,0x80000,None,Yes,0,Japan
Wedding Peach - Jamapii Panic (Japan) (SGB Enhanced).gb,WPGB,MBC1,MBC1,16,0,0x0,0x40000,None,Yes,0,Japan
