Filename,Title,Cart Type,Mapper Type,ROM Banks,RAM Banks,RAM Size,ROM Size,CGB Functionality,SGB Functionality,Mask ROM Ver,Region
Spiritual Warfare (USA) (Unl).gb,,ROM ONLY (0x0),ROM ONLY,2,0,0x0,0x8000,None,No,0,Japan
"4 in 1 (Europe) (4B-005, Sachen-Commin) (Unl).gb",gOT,MBC1,MBC1,16384,0,0x0,0x10000000,None,No,115,Non-Japan (0x89)
"4 in 1 (Europe) (4B-004, Sachen-Commin) (Unl).gb",gOT,MBC1,MBC1,16384,0,0x0,0x10000000,None,No,115,Non-Japan (0x89)
Game Boy Digital Sampling Oscilloscope (Europe) (v3.6) (GBDSO) (Unl).gb,TEMP,ROM ONLY (0x0),ROM ONLY,2,0,0x0,0x8000,None,No,1,Japan
King James Bible (USA) (Unl).gb,,ROM ONLY (0x0),ROM ONLY,2,0,0x0,0x8000,None,No,0,Japan
Game Boy Datenlogger 1 (Germany) (v1.0) (GBD1) (Unl).gb,GBD1,ROM ONLY (0x0),ROM ONLY,2,0,0x0,0x8000,Extra CGB Functions,No,1,Japan
X (USA) (Proto).gb,ECLIPSE,MBC1+RAM+BATTERY,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
GameShark (USA) (Unl).gb,ar,MBC1+RAM,MBC1,8,0,0x0,0x20000,None,No,1,Japan
"4 in 1 (Europe) (4B-002, Sachen) (Unl).gb",gOT,MBC1,MBC1,16384,0,0x0,0x10000000,None,No,115,Non-Japan (0x89)
Shin Nippon Pro Wrestling - Toukon Sanjushi (Japan) (Sample).gb,TOUKONSANJYUUSHI,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
Tsumeshougi - Kanki Godan (Japan) (Beta) (SGB Enhanced).gb,KANKI-TUMESHOGI ,MBC1,MBC1,8,0,0x0,0x20000,None,Yes,0,Japan
Mick & Mack as the Global Gladiators (USA) (Proto).gb,,ROM ONLY (0x0),ROM ONLY,2,0,0x0,0x8000,None,No,0,Japan
F-15 Strike Eagle II (Unknown) (Proto).gb,F15 STRIKE EAGLE,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
