Filename,Title,Cart Type,Mapper Type,ROM Banks,RAM Banks,RAM Size,ROM Size,CGB Functionality,SGB Functionality,Mask ROM Ver,Region
"King of Fighters '95, The (USA) (SGB Enhanced).gb",NETTOU KOF 95,MBC1,MBC1,32,0,0x0,0x80000,None,Yes,0,Non-Japan (0x1)
Maru's Mission (USA).gb,MARU'S MISSION,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Fastest Lap (Japan, USA).gb",FASTEST LAP,MBC2+BATTERY,MBC2,8,1,0x100,0x20000,None,No,0,Japan
Bionic Commando (USA).gb,BIONIC-COMMANDO,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
BurgerTime Deluxe (World).gb,BURGER TIME,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Japan
"Marble Madness (USA, Europe).gb",MARBLE MADNESS,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
Minolta Camera Test Cart 2420 (USA).gb,,ROM ONLY (0x0),ROM ONLY,2,0,0x0,0x8000,None,No,0,Japan
"Arcade Classics - Battlezone & Super Breakout (USA, Europe) (SGB Enhanced).gb",BZONE SBREAKOUT,MBC1,MBC1,16,0,0x0,0x40000,None,Yes,0,Non-Japan (0x1)
"Swamp Thing (USA, Europe).gb",SWAMP THING,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Star Wars - The Empire Strikes Back (USA).gb,EMPIRE STRIKES,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Stop That Roach! (USA).gb,STOP THAT ROACH,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Taz-Mania 2 (USA).gb,TAZMANIA,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Wizards & Warriors Chapter X - The Fortress of Fear (USA, Europe).gb",WIZARDS WARRIORS,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Non-Japan (0x1)
Battle Arena Toshinden (USA) (SGB Enhanced).gb,BA.TOSHINDEN,MBC1,MBC1,32,0,0x0,0x80000,None,Yes,0,Non-Japan (0x1)
"Lost World, The - Jurassic Park (USA, Europe) (SGB Enhanced).gb",LOST WORLD,MBC1,MBC1,32,0,0x0,0x80000,None,Yes,0,Non-Japan (0x1)
"Spider-Man 2 (USA, Europe).gb",SPIDER-MAN 2,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Spider-Man 3 - Invasion of the Spider-Slayers (USA, Europe).gb",SPIDER-MAN 3 DMG,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
David Crane's The Rescue of Princess Blobette Starring A Boy and His Blob (USA).gb,BOY AND BLOB GB1,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Non-Japan (0x1)
"International Superstar Soccer (USA, Europe) (SGB Enhanced).gb",ISS,MBC1,MBC1,16,0,0x0,0x40000,None,Yes,0,Non-Japan (0x1)
"Tiny Toon Adventures 2 - Montana's Movie Madness (USA, Europe).gb",TINY TOON 2 MMM,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Atomic Punk (USA).gb,ATOMIC PUNK,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Vegas Stakes (USA, Europe) (SGB Enhanced).gb",VEGAS STAKES,MBC1+RAM+BATTERY,MBC1,32,1,0x800,0x80000,None,Yes,0,Non-Japan (0x1)
"Double Dragon II (USA, Europe).gb",DOUBLE DRAGON 2,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Punisher, The - The Ultimate Payback (USA).gb",THE PUNISHER,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Bubble Bobble (USA, Europe).gb",BUBBLE BOBBLE,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Lamborghini American Challenge (USA, Europe).gb",LAMBORGHINI,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Asteroids (USA, Europe).gb",ASTEROIDS,ROM ONLY (0x0),ROM ONLY,2,0,0x0,0x8000,None,No,0,Non-Japan (0x1)
Legend of the River King GB (USA) (SGB Enhanced).gb,THE RIVER KING  ,MBC1+RAM+BATTERY,MBC1,32,1,0x800,0x80000,None,Yes,0,Non-Japan (0x1)
Knight Quest (USA).gb,KNIGHT QUEST,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Dead Heat Scramble (USA).gb,DEADHEATSCRAMBLE,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Non-Japan (0x1)
"Taz-Mania (USA, Europe).gb",TAZ-MANIA,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
"Hercules (USA, Europe) (SGB Enhanced).gb",HERCULES,MBC1,MBC1,32,0,0x0,0x80000,None,Yes,0,Non-Japan (0x1)
Roger Clemens' MVP Baseball (USA).gb,CLEMENS BASEBALL,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
Blades of Steel (USA).gb,BLADES OF STEEL,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Cosmo Tank (USA).gb,COSMO TANK,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Game Boy Camera (USA, Europe) (SGB Enhanced).gb",GAMEBOYCAMERA,GB CAMERA,Game Boy Camera,64,16,0x10000,0x100000,None,Yes,0,Non-Japan (0x1)
Final Fantasy Adventure (USA).gb,SEIKEN DENSETSU,MBC2+BATTERY,MBC2,16,1,0x100,0x40000,None,No,0,Non-Japan (0x1)
"Chase H.Q. (USA, Europe).gb",CHASE HQ,MBC1,MBC1,8,0,0x0,0x20000,None,No,1,Non-Japan (0x1)
HAL Wrestling (USA).gb,PROWRES,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"T2 - The Arcade Game (USA, Europe).gb",TERMINATOR 2 TAG,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
World Bowling (USA).gb,WORLD BOWLING,ROM ONLY (0x0),ROM ONLY,2,0,0x0,0x8000,None,No,0,Non-Japan (0x1)
Golf (World).gb,GOLF,MBC2+BATTERY,MBC2,8,1,0x100,0x20000,None,No,0,Japan
"InfoGenius Productivity Pak - Berlitz French Translator (USA, Europe).gb",LANG TRNSLTR FRN,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Spot - The Cool Adventure (USA).gb,SPOT COOL ADV,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"NBA Live 96 (USA, Europe) (SGB Enhanced).gb",NBA LIVE 96,MBC1,MBC1,32,0,0x0,0x80000,None,Yes,0,Non-Japan (0x1)
"Donkey Kong Land III (USA, Europe) (SGB Enhanced).gb",DONKEYKONGLAND 3,MBC1+RAM+BATTERY,MBC1,32,1,0x800,0x80000,None,Yes,0,Non-Japan (0x1)
"Bart Simpson's Escape from Camp Deadly (USA, Europe).gb",SIMPSON ESCAPE,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Cool Ball (USA).gb,COOL BALL,ROM ONLY (0x0),ROM ONLY,2,0,0x0,0x8000,None,No,0,Non-Japan (0x1)
Ultra Golf (USA).gb,ULTRA GOLF,MBC2+BATTERY,MBC2,8,1,0x100,0x20000,None,No,0,Non-Japan (0x1)
Motocross Maniacs (USA).gb,MOTOCROSSMANIACS,ROM ONLY (0x0),ROM ONLY,2,0,0x0,0x8000,None,No,0,Non-Japan (0x1)
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",POKEMON BLUE,MBC3+RAM+BATTERY,MBC3,64,4,0x4000,0x100000,None,Yes,0,Non-Japan (0x1)
"WCW Main Event (USA, Europe).gb",THE MAIN EVENT,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Kirby's Pinball Land (USA, Europe).gb",KIRBY'S PINBALL,MBC2+BATTERY,MBC2,16,1,0x100,0x40000,None,No,0,Non-Japan (0x1)
"Mighty Morphin Power Rangers (USA, Europe) (SGB Enhanced).gb",POWER RANGERS,MBC1,MBC1,16,0,0x0,0x40000,None,Yes,0,Non-Japan (0x1)
"Star Trek - 25th Anniversary (USA, Europe).gb",STAR TREK,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Muhammad Ali Heavyweight Boxing (USA, Europe).gb",MUHAMMAD ALI,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Darkwing Duck (USA).gb,DARK WING DUCK,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Track Meet (USA, Europe).gb",TRACK MEET,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Godzilla (USA, Europe).gb",GODZILLA,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Who Framed Roger Rabbit (USA).gb,ROGER RABBIT,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Pokemon - Red Version (USA, Europe) (SGB Enhanced).gb",POKEMON RED,MBC3+RAM+BATTERY,MBC3,64,4,0x4000,0x100000,None,Yes,0,Non-Japan (0x1)
"Road Rash (USA, Europe).gb",ROAD RASH,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Turrican (USA, Europe).gb",TURRICAN,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Pac-Attack (USA) (SGB Enhanced).gb,PAC-ATTACK,MBC1,MBC1,8,0,0x0,0x20000,None,Yes,0,Non-Japan (0x1)
Bases Loaded for Game Boy (USA).gb,BASES LOADED GB,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Gargoyle's Quest (USA, Europe).gb",GARGOYLE'S,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Soccer Mania (USA).gb,SOCCER MANIA,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Japan
"Bugs Bunny Crazy Castle 2, The (USA).gb",BUGSCRAZYCASTLE2,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Foreman for Real (USA, Europe).gb",FOREMAN FOR REAL,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
Miner 2049er Starring Bounty Bob (USA).gb,MINER 2049ER,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Non-Japan (0x1)
Skate or Die - Tour de Thrash (USA).gb,TOUR DE THRASH,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Judge Dredd (USA, Europe).gb",JUDGE DREDD,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
"Real Ghostbusters, The (USA).gb",REAL GHOSTBUSTER,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Battle Bull (USA).gb,BATTLE BULL,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Ring Rage (USA).gb,RING RAGE,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Raging Fighter (USA, Europe).gb",RAGING FIGHTER,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
"Donkey Kong (Japan, USA) (SGB Enhanced).gb",DONKEY KONG,MBC1+RAM+BATTERY,MBC1,32,1,0x800,0x80000,None,Yes,0,Japan
Battletoads in Ragnarok's World (USA).gb,BT2RAGNAROKWORLD,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Blaster Master Boy (USA).gb,BLASTER MASTER B,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Pocahontas (USA, Europe) (SGB Enhanced).gb",POCAHONTAS,MBC1,MBC1,32,0,0x0,0x80000,None,Yes,0,Non-Japan (0x1)
Nemesis (USA).gb,NEMESIS,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Turok - Battle of the Bionosaurs (USA, Europe) (En,Fr,De,Es).gb",TUROK BATTLE OF,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
"Incredible Crash Dummies, The (USA, Europe).gb",CRASH DUMMIES,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Fidgetts, The (USA, Europe) (En,Fr,De,Es,It,Nl,Sv).gb",THE FIDGETTS,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
"Total Carnage (USA, Europe).gb",TOTAL CARNAGE,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Flintstones, The (USA, Europe).gb",THE FLINTSTONES,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
Final Fantasy Legend II (USA).gb,SAGA2,MBC1+RAM+BATTERY,MBC1,16,1,0x800,0x40000,None,No,0,Non-Japan (0x1)
"Amazing Spider-Man, The (USA, Europe).gb",SPIDER-MAN,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Non-Japan (0x1)
"Arcade Classic No. 2 - Centipede & Millipede (USA, Europe) (SGB Enhanced).gb",MILLI/CENTI/PEDE,MBC1,MBC1,8,0,0x0,0x20000,None,Yes,0,Non-Japan (0x1)
"Mortal Kombat (USA, Europe).gb",MORTAL KOMBAT,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
"Kid Dracula (USA, Europe).gb",KID DRACULA,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
Prince of Persia (USA).gb,PRINCE OF PERSIA,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Frank Thomas Big Hurt Baseball (USA, Europe).gb",FRANK THOMAS BB,MBC1,MBC1,32,0,0x0,0x80000,None,No,0,Non-Japan (0x1)
Choplifter II - Rescue & Survive (USA).gb,CHOPLIFTER 2,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Jeopardy! - Teen Tournament (USA) (SGB Enhanced).gb,TEEN JEOPARDY!,MBC1,MBC1,8,0,0x0,0x20000,None,Yes,0,Non-Japan (0x1)
Snow Bros. Jr. (USA).gb,SNOW BROS.JR,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Home Alone (USA, Europe).gb",HOME ALONE,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Great Greed (USA).gb,GREAT GREED,MBC1+RAM+BATTERY,MBC1,16,1,0x800,0x40000,None,No,0,Non-Japan (0x1)
Zool - Ninja of the 'Nth' Dimension (USA).gb,ZOOL,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Bo Jackson - Two Games in One (USA).gb,BO JACKSON,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Flash, The (USA, Europe).gb",THE FLASH,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Indiana Jones and the Last Crusade (USA, Europe).gb",INDIANA JONES 3,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Super Star Wars - Return of the Jedi (USA, Europe) (SGB Enhanced).gb",SRJ DMG,MBC1,MBC1,32,0,0x0,0x80000,None,Yes,0,Non-Japan (0x1)
Side Pocket (World).gb,SIDE POCKET,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Non-Japan (0x1)
Wheel of Fortune (USA).gb,WHEEL OF FORTUNE,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Home Alone 2 - Lost In New York (USA, Europe).gb",HOME ALONE2,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"World Cup USA 94 (Japan) (En,Fr,De,Es,It,Nl,Pt,Sv).gb",WORLD CUP USA 94,MBC1+RAM+BATTERY,MBC1,16,1,0x800,0x40000,None,No,0,Japan
"RoboCop 2 (USA, Europe).gb",ROBOCOP2,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
High Stakes (USA).gb,HIGH STAKES,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Battleship (USA, Europe).gb",BATTLE SHIP,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Non-Japan (0x1)
Alleyway (World).gb,ALLEY WAY,ROM ONLY (0x0),ROM ONLY,2,0,0x0,0x8000,None,No,0,Japan
"Getaway, The (USA).gb",THE GETAWAY     ,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
"Wave Race (USA, Europe).gb",WAVERACE,MBC2+BATTERY,MBC2,8,1,0x100,0x20000,None,No,0,Non-Japan (0x1)
"4-in-1 Fun Pak (USA, Europe).gb",4 IN 1 FUN PAK,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Super Off Road (USA, Europe).gb",SUPER OFF ROAD,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Baseball (World).gb,BASEBALL,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Japan
"WWF Superstars (USA, Europe).gb",WWF SUPERSTARS,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
